Date,Adj Close (2822),Adj Close (2303),Adj Close (2008),Adj Close (2308),Adj Close (1301),Adj Close (2330),Adj Close (2474),Adj Close (2477),Adj Close (2015),Adj Close (3711),Adj Close (2476),Adj Close (2891),Adj Close (2002),Adj Close (1303),Adj Close (2887),Adj Close (2912),Adj Close (2884),Adj Close (2723),Adj Close (2920),Adj Close (2412),Adj Close (2831),Adj Close (2827),Adj Close (2317),Adj Close (2382),Adj Close (1216),Adj Close (2454),Adj Close (2881),Adj Close (2882),Adj Close (6669),Adj Close (1309),Adj Close (6505),Adj Close (2603),Adj Close (2886),Adj Close (2885)
2007/1/2,,13.65208244,7.202842712,52.75928497,21.58052444,36.21076965,109.5019836,11.34149551,14.26828289,22.40023232,14.69516754,8.54400444,13.84074116,22.86140251,6.837698936,39.19285583,5.786484718,,,34.18984222,,,59.25146103,19.9223156,11.07914639,147.2901154,11.58776283,32.3408165,,4.776569366,39.70975494,15.04006481,9.800276756,7.640499592
2007/1/3,,13.45131969,7.202842712,51.53232574,21.50118256,36.37122726,113.5327301,11.34149551,14.26828289,22.24867249,15.10343647,8.606482506,13.6620245,22.61290359,6.703626633,37.99764633,5.660692215,,,33.96526718,,,59.50094986,19.31141281,10.84197903,152.8058624,11.55050373,32.89401245,,4.776569366,39.70975494,14.96132374,9.800276756,7.549268246
2007/1/4,,13.5517025,7.056838989,52.75928497,21.42184448,36.21076965,113.700676,11.13275528,13.98503876,22.00618172,15.7313509,8.809540749,13.50316238,22.65432549,6.770662785,37.35024643,5.610374928,,,34.13370132,,,60.24937439,19.78656006,11.0452652,154.8487091,11.23379707,32.8514595,,4.729329109,39.22285461,14.88257885,9.739908218,7.617690086
2007/1/5,,13.38439846,6.803765774,52.2685051,21.02514267,35.78286362,113.700676,10.70982361,13.80801201,21.76368713,14.10200119,8.762681007,13.18543911,22.48866081,6.569553852,37.10124207,5.522318363,,,33.68457413,,,58.62776566,19.27746964,10.67257309,152.3972626,11.02886677,32.29826355,,4.724078655,38.08673859,14.68571758,9.417928696,7.594884396
2007/1/8,,13.18362808,6.579894066,52.02311325,20.98547745,35.19451904,112.1891251,10.57611847,13.80801201,22.06680298,16.2653656,8.622102737,13.16558456,22.32299995,6.485758305,37.05144119,5.484580994,,,33.4600029,,,57.87931442,18.93807793,10.55398655,146.6772308,10.95434856,31.44718933,,4.687337399,37.11294174,14.48885822,9.277059555,7.549268246
2007/1/9,,13.25055599,6.862167835,51.77772141,21.14415359,35.30147934,115.7160568,10.73847198,14.10895538,22.30929375,15.60601234,8.590863228,13.46344662,22.48866081,6.401963711,37.10124207,5.484580994,,,33.90912628,,,58.12880325,18.9720211,10.50316811,146.4729919,10.9916048,31.83017349,,4.781818867,37.27523804,14.64634418,9.397802353,7.594884396
2007/1/10,,12.9494009,6.77456522,51.77772141,20.86646271,34.3387146,121.7621841,10.90082359,14.10895538,22.36991692,15.44882679,8.497145653,13.18543911,22.07450676,6.267892361,37.10124207,5.295891762,,,33.5722847,,,58.37827682,19.41322899,10.29987907,147.4944153,10.78668022,30.7663269,,4.834307671,36.51783371,14.64634418,9.216690063,7.366808891
2007/1/11,,12.9494009,6.32682085,51.77772141,20.6681118,35.19451904,118.2352829,10.66889286,13.75490475,22.27898026,15.07199574,8.419047356,13.02657986,21.82601547,6.301409245,36.80243683,5.283312321,,,33.4600029,,,58.75250626,18.83626175,9.994948387,145.042984,10.78668022,30.55356598,,4.598104477,36.03092957,14.76445961,9.015450478,7.412424088
2007/1/12,,13.45131969,6.521492481,55.21321487,21.02514267,36.95957947,119.0749893,10.5297327,14.05585003,22.88521194,15.54313946,8.434666634,13.18543911,22.11591911,6.351686478,37.15104294,5.43426466,,,33.96526718,,,59.50094986,19.41322899,10.50316811,145.042984,11.0474968,31.14930916,,4.645345211,36.08502197,14.92195129,9.136193275,7.503653526
2007/1/15,,13.5517025,6.424156666,57.66712952,21.10448456,37.01307678,124.6172943,10.62250614,14.23287582,22.88521194,15.38595486,8.278468132,13.18543911,21.99167442,6.31816864,37.4000473,5.459423065,,,33.79685211,,,62.74416733,19.27746964,10.07965088,149.1286469,10.9916048,30.97909546,,4.6033535,36.03092957,14.80383492,8.794090271,7.435231686
2007/1/16,,13.45131969,6.48255825,54.47703171,21.18382454,37.60143661,122.6018906,10.64569855,14.35679531,22.94583702,15.38595486,8.450285912,13.30458546,22.07450676,6.267892361,37.84824371,5.497161388,,,33.79685211,,,61.87099457,19.34535027,10.0965929,149.9458313,11.17790604,30.97909546,,4.6033535,37.05883408,14.72509003,9.07582283,7.526462078
2007/1/17,,13.38439846,6.472824574,54.96782684,21.22349167,37.92235565,122.9378052,10.62250614,14.33909225,22.94583702,15.85710049,8.481525421,13.30458546,22.24016762,6.200854778,37.89804459,5.484580994,,,34.30212021,,,62.24522018,19.24353409,10.24905777,151.5801392,11.08475876,30.8514328,,4.634846687,36.57192993,14.80383492,8.934956551,7.45803833
2007/1/18,,13.31747627,6.511758804,54.96782684,21.3425045,37.89347839,122.266037,11.31830311,14.30368423,22.91553116,15.85710049,8.68458271,13.24501419,22.44724083,6.267892361,37.84824371,5.43426466,,,34.30212021,,,62.86891174,19.1323967,10.24905777,155.8700867,11.2524271,31.27696991,,4.734577656,36.84243011,14.88257885,9.095946312,7.480846405
2007/1/19,,13.11670971,6.443623543,54.47703171,21.38217354,37.333992,121.9301224,10.94721127,14.33909225,22.88521194,15.95140934,8.54400444,13.08615208,22.40583038,6.234373569,37.89804459,5.383946896,,,33.90912628,,,61.621521,19.41322899,10.16435337,154.6443787,11.19653606,31.06420517,,4.734577656,36.84243011,15.07943916,9.236812592,7.321193218
2007/1/22,,13.11670971,6.424156666,54.47703171,21.62019539,36.90610504,125.6249847,10.76166439,14.33909225,22.76397324,16.8618412,8.637722969,13.10600948,22.32299995,6.033263206,38.74465942,5.446843147,,,34.24597549,,,61.24728775,19.1417141,10.68951321,155.2572784,11.17790604,32.3408165,,4.750323772,36.30142593,15.04006481,9.337430954,7.321193218
2007/1/23,,13.11670971,6.521492481,54.47703171,21.62019539,36.79912567,122.266037,10.55292511,14.33909225,22.76397324,16.89327621,8.653344154,13.26487255,22.57149124,6.167335987,38.49565125,5.43426466,,,34.18984222,,,61.87099457,18.90414047,10.79115486,152.1929779,11.19653606,32.00038528,,4.97603035,36.40962982,14.92195129,9.337430954,7.389616489
2007/1/24,,14.02015877,6.492291927,56.44016647,21.93755722,37.70841217,121.0903854,10.48334694,14.44530773,22.9761467,17.05046463,8.887639046,13.30458546,22.86140251,6.267892361,38.29645538,5.534898281,,,34.47053146,,,61.74625015,19.31141281,10.8589201,154.0315399,11.2896862,32.3408165,,4.886799335,36.46372986,14.88257885,9.478299141,7.435231686
2007/1/25,,14.4551506,6.570160389,55.21321487,22.01689529,37.97584152,118.7391434,10.43696022,14.44530773,22.91553116,17.4272995,8.809540749,13.4237318,22.77857018,6.234373569,38.29645538,5.547477245,,,34.58281326,,,61.87099457,19.54898071,10.52010918,153.2144012,11.15927505,32.12804031,,4.850054741,36.40962982,14.8432045,9.29718399,7.412424088
2007/1/26,,14.12053776,6.521492481,54.47703171,21.62019539,36.37122726,117.2275772,10.06586933,14.44530773,22.67303658,17.4272995,8.653344154,13.20530033,22.53007507,6.167335987,37.89804459,5.497161388,,,34.91966248,,,59.99990082,19.20959282,10.43540668,151.1715546,11.06612778,31.36207771,,4.818561554,35.81451416,14.72509003,9.055699348,7.34400177
2007/1/29,,14.15399742,6.59936142,52.02311325,21.69953346,36.69215012,117.0596237,9.370069504,14.58692741,22.85489845,16.51644707,8.450285912,13.34429932,22.3644104,6.133818626,37.89804459,5.358787537,,,35.3687973,,,58.12880325,18.9720211,10.33376122,147.9029694,10.97297955,31.14930916,,4.724078655,35.9768219,14.56760311,8.914831161,7.298387051
2007/1/30,,13.88631248,6.511758804,50.24696732,21.8185463,36.19044495,117.899353,9.18452549,14.72854424,22.76397324,16.64219475,8.622102737,13.50316238,22.48866081,6.184095383,37.84824371,5.371367455,,,35.14422989,,,48.44067764,18.9720211,10.33376122,150.3544006,11.08475876,31.23442078,,4.734577656,36.57192993,14.41011524,8.914831161,7.207156658
2007/1/31,,13.81939125,6.570160389,50.24696732,21.97722626,36.05030823,118.571167,9.370069504,14.71084595,22.76397324,16.32824326,8.653344154,13.50316238,22.48866081,6.150576591,37.89804459,5.371367455,,,35.4810791,,,56.13296127,18.8701992,10.16435337,146.6772308,11.21516705,31.06420517,,4.718830585,36.30142593,14.41011524,8.874585152,7.047503948
2007/2/1,,13.78592777,6.443623543,52.51389694,21.97722626,35.83635712,112.5250397,9.346875191,14.76395416,22.64271927,16.73650742,8.637722969,13.6818819,22.48866081,6.217613697,37.94784546,5.409105778,,,35.53721619,,,56.00822067,18.8023262,10.07965088,146.6772308,11.23379707,31.31952477,,4.666340828,36.51783371,14.52823067,8.97520256,7.070310593
2007/2/2,,13.81939125,6.502025127,51.53232574,22.05656433,36.26425934,111.8532639,9.462842941,15.06489658,22.70334625,16.79896927,8.856398582,13.90031528,22.65432549,6.251132011,38.34624863,5.484580994,,,35.98633957,,,57.13088226,19.1417141,10.11353302,147.2901154,11.38283348,31.48973846,,4.671589375,37.05883408,14.76445961,9.07582283,7.070310593
